Iteration,Ground_Truth_Count,Predicted_Count,Recall (%),Precision (%),sTILS Density (%),Time_Duration(sec)
91,36,50,97.22222222222221,70.0,26.260504201680675,1382.2063646316528
92,36,50,97.22222222222221,70.0,26.260504201680675,1383.9739184379578
93,36,50,97.22222222222221,70.0,26.260504201680675,1386.228964805603
94,36,50,97.22222222222221,70.0,26.260504201680675,1388.281953573227
95,36,50,97.22222222222221,70.0,26.260504201680675,1390.1834115982056
96,36,50,97.22222222222221,70.0,26.260504201680675,1392.0718443393707
97,36,50,97.22222222222221,70.0,26.260504201680675,1393.9024322032928
98,36,50,97.22222222222221,70.0,26.260504201680675,1396.0256407260895
99,36,50,97.22222222222221,70.0,26.260504201680675,1397.9846351146698
100,36,50,97.22222222222221,70.0,26.260504201680675,1399.8683114051819
